pc1,pc2,species
2.739897,0.199429,setosa
2.788147,-0.193085,setosa
2.947467,-0.205908,setosa
2.807154,-0.400850,setosa
2.811334,0.292873,setosa
2.300211,0.651422,setosa
2.842476,-0.172912,setosa
2.662116,0.099483,setosa
2.933108,-0.642260,setosa
2.740410,-0.116315,setosa
2.522777,0.597670,setosa
2.625236,-0.050619,setosa
2.807531,-0.305854,setosa
3.248156,-0.604139,setosa
2.691014,1.129688,setosa
2.414416,1.245702,setosa
2.686839,0.724448,setosa
2.719463,0.282970,setosa
2.223984,0.826405,setosa
2.648799,0.479353,setosa
2.358385,0.363850,setosa
2.575242,0.322787,setosa
3.262011,0.053195,setosa
2.385785,0.032010,setosa
2.415163,-0.091884,setosa
2.544336,-0.153872,setosa
2.490127,0.035333,setosa
2.610156,0.358431,setosa
2.666521,0.251347,setosa
2.682072,-0.272911,setosa
2.601498,-0.241805,setosa
2.432061,0.407105,setosa
2.693388,0.673675,setosa
2.648917,1.014963,setosa
2.715017,-0.147868,setosa
2.885439,0.022221,setosa
2.677734,0.599138,setosa
2.844321,0.152783,setosa
3.049778,-0.525234,setosa
2.641896,0.187807,setosa
2.789234,0.211069,setosa
2.885265,-0.973256,setosa
3.053323,-0.434936,setosa
2.448050,0.097774,setosa
2.216340,0.362047,setosa
2.761576,-0.276165,setosa
2.609672,0.407540,setosa
2.898987,-0.334495,setosa
2.583146,0.494654,setosa
2.766065,0.053251,setosa
2.829089,-0.126005,setosa
2.759014,-0.055390,setosa
2.721381,-0.025944,setosa
2.860117,0.020658,setosa
3.063788,0.126923,setosa
3.241466,-0.844743,setosa
2.624077,0.623951,setosa
2.721771,-0.024521,setosa
2.818929,0.362365,setosa
2.521678,-0.180378,setosa
2.689533,0.288785,setosa
2.785928,-0.094138,setosa
2.553391,0.046105,setosa
2.683957,0.604249,setosa
2.540769,0.813811,setosa
2.806511,0.118928,setosa
2.880050,-0.532941,setosa
2.567125,0.538153,setosa
2.428916,0.398034,setosa
2.517408,1.104907,setosa
2.481273,0.725933,setosa
2.658290,-0.308842,setosa
2.520575,0.263893,setosa
2.983688,-0.229669,setosa
2.618038,0.395252,setosa
2.677139,0.436423,setosa
2.760835,0.759638,setosa
2.761023,0.260618,setosa
2.543539,0.680943,setosa
2.555200,0.845926,setosa
2.766054,-0.028526,setosa
3.033256,-0.756726,setosa
2.978815,-0.216219,setosa
2.615681,0.407777,setosa
2.950350,-0.224879,setosa
2.728102,0.206026,setosa
2.416648,0.732557,setosa
2.578453,-0.203949,setosa
2.839946,-0.173490,setosa
2.788445,-0.177311,setosa
2.390202,0.542180,setosa
2.992234,-0.371750,setosa
2.796991,1.032523,setosa
3.297350,-0.549640,setosa
2.982275,-0.303474,setosa
2.502879,0.031072,setosa
2.910960,0.155561,setosa
2.595356,0.621677,setosa
2.612421,0.219023,setosa
2.920077,-0.084408,setosa
2.403014,1.396931,setosa
2.814081,0.089553,setosa
2.582014,0.564403,setosa
2.486210,0.207941,setosa
2.510470,0.920011,setosa
2.445983,0.097253,setosa
3.076523,-0.526977,setosa
3.062286,0.166586,setosa
2.705269,0.936857,setosa
3.035090,-0.243167,setosa
2.974401,-0.386048,setosa
2.674617,0.243942,setosa
2.731927,0.647682,setosa
2.962395,-0.010654,setosa
2.486739,0.103569,setosa
3.258627,-0.410722,setosa
2.725410,0.497605,setosa
2.731694,-0.196017,setosa
2.381684,0.771488,setosa
2.466879,0.137353,setosa
2.979155,-0.275424,setosa
3.061434,-0.423186,setosa
2.868788,-0.326646,setosa
2.796639,-0.377267,setosa
2.547702,0.050539,setosa
2.631674,0.438695,setosa
2.370067,0.708064,setosa
2.210895,0.455734,setosa
2.622514,0.269310,setosa
2.486740,0.167380,setosa
2.804686,0.459649,setosa
2.570209,0.760839,setosa
2.213238,0.990637,setosa
2.575987,0.417390,setosa
2.855956,0.199182,setosa
2.641550,-0.287429,setosa
2.860334,-0.216569,setosa
2.339467,0.617126,setosa
2.762595,0.038227,setosa
2.671548,0.232720,setosa
2.885474,-0.195093,setosa
2.568676,0.377757,setosa
2.418004,-0.279074,setosa
2.739353,0.125759,setosa
2.853952,-0.295026,setosa
2.290283,0.452187,setosa
2.547094,-0.162687,setosa
2.653946,0.095426,setosa
2.185848,0.629776,setosa
3.108616,-0.542585,setosa
2.731263,0.231403,setosa
2.974638,-0.395127,setosa
2.606775,0.778962,setosa
2.823722,-0.417714,setosa
2.844416,0.086573,setosa
2.649881,-0.015743,setosa
2.866624,-0.106108,setosa
2.723512,0.377833,setosa
2.793336,-0.280386,setosa
2.636556,0.297152,setosa
2.997841,-1.067454,setosa
2.709031,0.179159,setosa
2.713374,0.542572,setosa
3.185969,-0.482686,setosa
2.754193,0.367819,setosa
2.687772,0.415107,setosa
2.577794,-0.136678,setosa
3.186784,-0.619820,setosa
2.587438,-0.129130,setosa
2.387165,1.099670,setosa
2.619146,0.242222,setosa
2.713013,-0.351932,setosa
2.467658,-0.182398,setosa
2.412380,0.231699,setosa
3.060336,-0.139463,setosa
2.557474,-0.049995,setosa
2.679533,0.432041,setosa
2.766366,0.666088,setosa
2.649615,0.678521,setosa
2.381726,-0.088733,setosa
2.525972,0.549818,setosa
2.658001,-0.083077,setosa
2.766999,0.239099,setosa
2.538646,0.381932,setosa
2.567958,1.271292,setosa
2.428675,0.153934,setosa
2.866990,0.261065,setosa
3.162861,-0.487335,setosa
2.573395,-0.061895,setosa
2.655681,0.399450,setosa
2.660919,0.594286,setosa
2.698347,0.144671,setosa
2.474113,0.677085,setosa
2.318617,0.149281,setosa
2.886891,-0.345647,setosa
3.183450,-0.368156,setosa
2.655615,-0.157780,setosa
2.806562,0.225715,setosa
2.787839,1.109502,setosa
